DATE;TIME_FROM;TIME_TO;IDAEP_GERMANY_VALUE_OP_[EUR/MWH];IDAEP_GERMANY_COMMENT;IDAEP_GERMANY_VALUE_QA_[EUR/MWH]
01.10.2020;00:00;00:15;36,200;;n/a
01.10.2020;00:15;00:30;40,360;;n/a
01.10.2020;00:30;00:45;52,100;;n/a
01.10.2020;00:45;01:00;40,500;;n/a
01.10.2020;01:00;01:15;40,680;;n/a
01.10.2020;01:15;01:30;38,090;;n/a
01.10.2020;01:30;01:45;35,920;;n/a
01.10.2020;01:45;02:00;35,410;;n/a
01.10.2020;02:00;02:15;28,420;;n/a
01.10.2020;02:15;02:30;27,100;;n/a
01.10.2020;02:30;02:45;29,960;;n/a
01.10.2020;02:45;03:00;37,580;;n/a
01.10.2020;03:00;03:15;36,940;;n/a
01.10.2020;03:15;03:30;29,950;;n/a
01.10.2020;03:30;03:45;33,740;;n/a
01.10.2020;03:45;04:00;31,610;;n/a
01.10.2020;04:00;04:15;32,230;;n/a
01.10.2020;04:15;04:30;32,960;;n/a
01.10.2020;04:30;04:45;45,410;;n/a
01.10.2020;04:45;05:00;44,010;;n/a
01.10.2020;05:00;05:15;36,290;;n/a
01.10.2020;05:15;05:30;47,340;;n/a
01.10.2020;05:30;05:45;58,390;;n/a
01.10.2020;05:45;06:00;59,680;;n/a
01.10.2020;06:00;06:15;41,610;;n/a
01.10.2020;06:15;06:30;42,790;;n/a
01.10.2020;06:30;06:45;45,260;;n/a
01.10.2020;06:45;07:00;40,900;;n/a
01.10.2020;07:00;07:15;48,350;;n/a
01.10.2020;07:15;07:30;52,170;;n/a
01.10.2020;07:30;07:45;54,710;;n/a
01.10.2020;07:45;08:00;62,880;;n/a
01.10.2020;08:00;08:15;54,610;;n/a
01.10.2020;08:15;08:30;58,750;;n/a
01.10.2020;08:30;08:45;67,370;;n/a
01.10.2020;08:45;09:00;58,590;;n/a
01.10.2020;09:00;09:15;56,120;;n/a
01.10.2020;09:15;09:30;64,570;;n/a
01.10.2020;09:30;09:45;69,980;;n/a
01.10.2020;09:45;10:00;89,360;;n/a
01.10.2020;10:00;10:15;78,750;;n/a
01.10.2020;10:15;10:30;78,500;;n/a
01.10.2020;10:30;10:45;69,350;;n/a
01.10.2020;10:45;11:00;77,330;;n/a
01.10.2020;11:00;11:15;104,320;;n/a
01.10.2020;11:15;11:30;100,550;;n/a
01.10.2020;11:30;11:45;77,050;;n/a
01.10.2020;11:45;12:00;70,190;;n/a
01.10.2020;12:00;12:15;52,420;;n/a
01.10.2020;12:15;12:30;46,250;;n/a
01.10.2020;12:30;12:45;41,340;;n/a
01.10.2020;12:45;13:00;40,100;;n/a
01.10.2020;13:00;13:15;66,960;;n/a
01.10.2020;13:15;13:30;44,270;;n/a
01.10.2020;13:30;13:45;36,130;;n/a
01.10.2020;13:45;14:00;46,870;;n/a
01.10.2020;14:00;14:15;76,890;;n/a
01.10.2020;14:15;14:30;59,740;;n/a
01.10.2020;14:30;14:45;58,800;;n/a
01.10.2020;14:45;15:00;53,930;;n/a
01.10.2020;15:00;15:15;35,380;;n/a
01.10.2020;15:15;15:30;49,910;;n/a
01.10.2020;15:30;15:45;63,620;;n/a
01.10.2020;15:45;16:00;61,730;;n/a
01.10.2020;16:00;16:15;32,730;;n/a
01.10.2020;16:15;16:30;45,100;;n/a
01.10.2020;16:30;16:45;59,450;;n/a
01.10.2020;16:45;17:00;59,600;;n/a
01.10.2020;17:00;17:15;40,500;;n/a
01.10.2020;17:15;17:30;57,350;;n/a
01.10.2020;17:30;17:45;47,690;;n/a
01.10.2020;17:45;18:00;49,950;;n/a
01.10.2020;18:00;18:15;50,430;;n/a
01.10.2020;18:15;18:30;56,870;;n/a
01.10.2020;18:30;18:45;64,850;;n/a
01.10.2020;18:45;19:00;67,880;;n/a
01.10.2020;19:00;19:15;95,430;;n/a
01.10.2020;19:15;19:30;72,020;;n/a
01.10.2020;19:30;19:45;51,690;;n/a
01.10.2020;19:45;20:00;55,450;;n/a
01.10.2020;20:00;20:15;64,660;;n/a
01.10.2020;20:15;20:30;55,260;;n/a
01.10.2020;20:30;20:45;46,830;;n/a
01.10.2020;20:45;21:00;47,480;;n/a
01.10.2020;21:00;21:15;58,730;;n/a
01.10.2020;21:15;21:30;55,540;;n/a
01.10.2020;21:30;21:45;38,500;;n/a
01.10.2020;21:45;22:00;28,150;;n/a
01.10.2020;22:00;22:15;47,880;;n/a
01.10.2020;22:15;22:30;47,220;;n/a
01.10.2020;22:30;22:45;61,350;;n/a
01.10.2020;22:45;23:00;67,330;;n/a
01.10.2020;23:00;23:15;66,520;;n/a
01.10.2020;23:15;23:30;68,700;;n/a
01.10.2020;23:30;23:45;70,810;;n/a
01.10.2020;23:45;00:00;60,930;;n/a
02.10.2020;00:00;00:15;43,660;;n/a
02.10.2020;00:15;00:30;48,720;;n/a
02.10.2020;00:30;00:45;44,820;;n/a
02.10.2020;00:45;01:00;41,370;;n/a
02.10.2020;01:00;01:15;32,900;;n/a
02.10.2020;01:15;01:30;43,260;;n/a
02.10.2020;01:30;01:45;44,840;;n/a
02.10.2020;01:45;02:00;51,600;;n/a
02.10.2020;02:00;02:15;33,820;;n/a
02.10.2020;02:15;02:30;35,590;;n/a
02.10.2020;02:30;02:45;40,230;;n/a
02.10.2020;02:45;03:00;46,020;;n/a
02.10.2020;03:00;03:15;30,970;;n/a
02.10.2020;03:15;03:30;33,840;;n/a
02.10.2020;03:30;03:45;35,250;;n/a
02.10.2020;03:45;04:00;34,410;;n/a
02.10.2020;04:00;04:15;29,600;;n/a
02.10.2020;04:15;04:30;29,670;;n/a
02.10.2020;04:30;04:45;35,960;;n/a
02.10.2020;04:45;05:00;36,950;;n/a
02.10.2020;05:00;05:15;28,700;;n/a
02.10.2020;05:15;05:30;30,630;;n/a
02.10.2020;05:30;05:45;33,930;;n/a
02.10.2020;05:45;06:00;46,100;;n/a
02.10.2020;06:00;06:15;66,730;;n/a
02.10.2020;06:15;06:30;75,800;;n/a
02.10.2020;06:30;06:45;72,130;;n/a
02.10.2020;06:45;07:00;66,390;;n/a
02.10.2020;07:00;07:15;60,960;;n/a
02.10.2020;07:15;07:30;66,610;;n/a
02.10.2020;07:30;07:45;60,940;;n/a
02.10.2020;07:45;08:00;59,130;;n/a
02.10.2020;08:00;08:15;45,670;;n/a
02.10.2020;08:15;08:30;37,170;;n/a
02.10.2020;08:30;08:45;30,810;;n/a
02.10.2020;08:45;09:00;22,280;;n/a
02.10.2020;09:00;09:15;45,750;;n/a
02.10.2020;09:15;09:30;42,310;;n/a
02.10.2020;09:30;09:45;39,660;;n/a
02.10.2020;09:45;10:00;29,000;;n/a
02.10.2020;10:00;10:15;41,610;;n/a
02.10.2020;10:15;10:30;38,060;;n/a
02.10.2020;10:30;10:45;35,320;;n/a
02.10.2020;10:45;11:00;51,220;;n/a
02.10.2020;11:00;11:15;46,010;;n/a
02.10.2020;11:15;11:30;46,130;;n/a
02.10.2020;11:30;11:45;35,270;;n/a
02.10.2020;11:45;12:00;19,130;;n/a
02.10.2020;12:00;12:15;33,380;;n/a
02.10.2020;12:15;12:30;27,200;;n/a
02.10.2020;12:30;12:45;-0,770;;n/a
02.10.2020;12:45;13:00;-23,160;;n/a
02.10.2020;13:00;13:15;29,500;;n/a
02.10.2020;13:15;13:30;73,850;;n/a
02.10.2020;13:30;13:45;79,970;;n/a
02.10.2020;13:45;14:00;52,350;;n/a
02.10.2020;14:00;14:15;36,040;;n/a
02.10.2020;14:15;14:30;42,000;;n/a
