,IDAEP_GERMANY_VALUE_OP_[EUR/MWH]
2020-10-17 00:00:00,35.09
2020-10-17 00:15:00,33.56
2020-10-17 00:30:00,35.08
2020-10-17 00:45:00,40.54
2020-10-17 01:00:00,48.15
2020-10-17 01:15:00,38.42
2020-10-17 01:30:00,35.33
2020-10-17 01:45:00,34.68
2020-10-17 02:00:00,34.99
2020-10-17 02:15:00,34.93
2020-10-17 02:30:00,34.63
2020-10-17 02:45:00,34.24
2020-10-17 03:00:00,33.2
2020-10-17 03:15:00,35.24
2020-10-17 03:30:00,36.25
2020-10-17 03:45:00,37.19
2020-10-17 04:00:00,35.08
2020-10-17 04:15:00,39.35
2020-10-17 04:30:00,36.88
2020-10-17 04:45:00,37.64
2020-10-17 05:00:00,44.18
2020-10-17 05:15:00,35.06
2020-10-17 05:30:00,33.89
2020-10-17 05:45:00,31.57
2020-10-17 06:00:00,35.79
2020-10-17 06:15:00,37.69
2020-10-17 06:30:00,36.9
2020-10-17 06:45:00,46.6
2020-10-17 07:00:00,34.8
2020-10-17 07:15:00,38.07
2020-10-17 07:30:00,50.38
2020-10-17 07:45:00,51.0
2020-10-17 08:00:00,35.93
2020-10-17 08:15:00,41.41
2020-10-17 08:30:00,44.24
2020-10-17 08:45:00,45.98
2020-10-17 09:00:00,45.95
2020-10-17 09:15:00,42.68
2020-10-17 09:30:00,40.23
2020-10-17 09:45:00,43.3
2020-10-17 10:00:00,55.6
2020-10-17 10:15:00,57.08
2020-10-17 10:30:00,50.98
2020-10-17 10:45:00,49.91
2020-10-17 11:00:00,45.24
2020-10-17 11:15:00,35.17
2020-10-17 11:30:00,34.92
2020-10-17 11:45:00,32.49
2020-10-17 12:00:00,47.26
2020-10-17 12:15:00,34.66
2020-10-17 12:30:00,33.26
2020-10-17 12:45:00,33.01
2020-10-17 13:00:00,44.36
2020-10-17 13:15:00,49.36
2020-10-17 13:30:00,55.49
2020-10-17 13:45:00,51.99
2020-10-17 14:00:00,41.31
2020-10-17 14:15:00,48.29
2020-10-17 14:30:00,51.74
2020-10-17 14:45:00,62.28
2020-10-17 15:00:00,49.91
2020-10-17 15:15:00,59.35
2020-10-17 15:30:00,58.56
2020-10-17 15:45:00,61.06
2020-10-17 16:00:00,56.76
2020-10-17 16:15:00,67.59
2020-10-17 16:30:00,55.87
2020-10-17 16:45:00,65.46
2020-10-17 17:00:00,50.67
2020-10-17 17:15:00,64.88
2020-10-17 17:30:00,55.89
2020-10-17 17:45:00,58.73
2020-10-17 18:00:00,60.76
2020-10-17 18:15:00,61.32
2020-10-17 18:30:00,62.94
2020-10-17 18:45:00,65.97
2020-10-17 19:00:00,66.33
2020-10-17 19:15:00,66.69
2020-10-17 19:30:00,61.33
2020-10-17 19:45:00,57.17
2020-10-17 20:00:00,64.58
2020-10-17 20:15:00,56.08
2020-10-17 20:30:00,47.17
2020-10-17 20:45:00,39.95
2020-10-17 21:00:00,55.21
2020-10-17 21:15:00,51.22
2020-10-17 21:30:00,38.71
2020-10-17 21:45:00,33.64
2020-10-17 22:00:00,48.78
2020-10-17 22:15:00,40.82
2020-10-17 22:30:00,39.27
2020-10-17 22:45:00,29.99
2020-10-17 23:00:00,43.03
2020-10-17 23:15:00,41.07
2020-10-17 23:30:00,31.9
2020-10-17 23:45:00,26.19
2020-10-18 00:00:00,43.1
2020-10-18 00:15:00,38.01
2020-10-18 00:30:00,22.38
2020-10-18 00:45:00,18.32
2020-10-18 01:00:00,36.28
2020-10-18 01:15:00,22.95
2020-10-18 01:30:00,8.3
2020-10-18 01:45:00,12.9
