,transaction_hash,transaction_index,block_hash,block_number,address,data,topics,hash,nonce,transaction_sender,to_address,value,gas,gas_price,input,block_timestamp,contract
4922,0x74dfe81693420dcbb3105deadcc5984df9e58a4d9e102537da75610da6956e2d,3,0xc3485039babb14f320b086ce75c42dd073e33e358c9c1a7feb73ee20099952f5,3730250,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x000000000000000000000000000000000000000000000264cab4f33283cb3fd90000000000000000000000000000000000000000000000003fe878d6359956a2,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0x74dfe81693420dcbb3105deadcc5984df9e58a4d9e102537da75610da6956e2d,5,0xfe594e862c3ce76e192997eabfc41afd7c975b52,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,166331,1000000000,0x18cbafe500000000000000000000000000000000000000000000003635c9adc5dea0000000000000000000000000000000000000000000000000000006272337526921cd00000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000fe594e862c3ce76e192997eabfc41afd7c975b52000000000000000000000000000000000000000000000000000000005faac59f000000000000000000000000000000000000000000000000000000000000000200000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c000000000000000000000000b4fbf271143f4fbf7b91a5ded31805e42b2208d6,1605026061,KWH
4923,0x74dfe81693420dcbb3105deadcc5984df9e58a4d9e102537da75610da6956e2d,3,0xc3485039babb14f320b086ce75c42dd073e33e358c9c1a7feb73ee20099952f5,3730250,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x00000000000000000000000000000000000000000000003635c9adc5dea0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000062f03646605d155,"0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d",0x74dfe81693420dcbb3105deadcc5984df9e58a4d9e102537da75610da6956e2d,5,0xfe594e862c3ce76e192997eabfc41afd7c975b52,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,166331,1000000000,0x18cbafe500000000000000000000000000000000000000000000003635c9adc5dea0000000000000000000000000000000000000000000000000000006272337526921cd00000000000000000000000000000000000000000000000000000000000000a0000000000000000000000000fe594e862c3ce76e192997eabfc41afd7c975b52000000000000000000000000000000000000000000000000000000005faac59f000000000000000000000000000000000000000000000000000000000000000200000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c000000000000000000000000b4fbf271143f4fbf7b91a5ded31805e42b2208d6,1605026061,KWH
5107,0xe33677b21392e5cf2ed5667b27198b81d2398345d1977eacfb7a976d584c73af,0,0x56074b2698d9c5daf12fbcee5bf23a17dd341baf89ffae2a93b00d0d9270d1e0,3729611,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x00000000000000000000000000000000000000000000022385a827e81550000000000000000000000000000000000000000000000000000044b436c23e1527f8,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0xe33677b21392e5cf2ed5667b27198b81d2398345d1977eacfb7a976d584c73af,5,0x24aa0566fc4a75a740a0bc5fcb1509d6621932d0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,199317,2000000000,0x18cbafe50000000000000000000000000000000000000000000000056bc75e2d6310000000000000000000000000000000000000000000000000000000ae7b69bcf7353400000000000000000000000000000000000000000000000000000000000000a000000000000000000000000024aa0566fc4a75a740a0bc5fcb1509d6621932d0000000000000000000000000000000000000000000000000000000005faaa010000000000000000000000000000000000000000000000000000000000000000200000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c000000000000000000000000b4fbf271143f4fbf7b91a5ded31805e42b2208d6,1605016476,KWH
5108,0xe33677b21392e5cf2ed5667b27198b81d2398345d1977eacfb7a976d584c73af,0,0x56074b2698d9c5daf12fbcee5bf23a17dd341baf89ffae2a93b00d0d9270d1e0,3729611,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x0000000000000000000000000000000000000000000000056bc75e2d631000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000af5ac006ded808,"0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d",0xe33677b21392e5cf2ed5667b27198b81d2398345d1977eacfb7a976d584c73af,5,0x24aa0566fc4a75a740a0bc5fcb1509d6621932d0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,199317,2000000000,0x18cbafe50000000000000000000000000000000000000000000000056bc75e2d6310000000000000000000000000000000000000000000000000000000ae7b69bcf7353400000000000000000000000000000000000000000000000000000000000000a000000000000000000000000024aa0566fc4a75a740a0bc5fcb1509d6621932d0000000000000000000000000000000000000000000000000000000005faaa010000000000000000000000000000000000000000000000000000000000000000200000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c000000000000000000000000b4fbf271143f4fbf7b91a5ded31805e42b2208d6,1605016476,KWH
6048,0x3e2ac58fc9fde895797395da9e70bc4df3238c3ef09052068b9c37ab14e6cec2,1,0x3434d2e9af1b53d0d70d5e6891fba366d2dc4892957c2b33ee3696922d8c001d,3729595,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x00000000000000000000000000000000000000000000000000000000000003e8,"0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000",0x3e2ac58fc9fde895797395da9e70bc4df3238c3ef09052068b9c37ab14e6cec2,4,0x24aa0566fc4a75a740a0bc5fcb1509d6621932d0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,5000000000000000000,3020568,2000000000,0xf305d71900000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c00000000000000000000000000000000000000000000021e19e0c9bab240000000000000000000000000000000000000000000000000021e19e0c9bab24000000000000000000000000000000000000000000000000000004563918244f4000000000000000000000000000024aa0566fc4a75a740a0bc5fcb1509d6621932d0000000000000000000000000000000000000000000000000000000005faa9f3e,1605016236,KWH
6049,0x3e2ac58fc9fde895797395da9e70bc4df3238c3ef09052068b9c37ab14e6cec2,1,0x3434d2e9af1b53d0d70d5e6891fba366d2dc4892957c2b33ee3696922d8c001d,3729595,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x00000000000000000000000000000000000000000000000c1f2aedd5821cb240,"0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000000000000000000000000000000000000000000000,0x00000000000000000000000024aa0566fc4a75a740a0bc5fcb1509d6621932d0",0x3e2ac58fc9fde895797395da9e70bc4df3238c3ef09052068b9c37ab14e6cec2,4,0x24aa0566fc4a75a740a0bc5fcb1509d6621932d0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,5000000000000000000,3020568,2000000000,0xf305d71900000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c00000000000000000000000000000000000000000000021e19e0c9bab240000000000000000000000000000000000000000000000000021e19e0c9bab24000000000000000000000000000000000000000000000000000004563918244f4000000000000000000000000000024aa0566fc4a75a740a0bc5fcb1509d6621932d0000000000000000000000000000000000000000000000000000000005faa9f3e,1605016236,KWH
6050,0x3e2ac58fc9fde895797395da9e70bc4df3238c3ef09052068b9c37ab14e6cec2,1,0x3434d2e9af1b53d0d70d5e6891fba366d2dc4892957c2b33ee3696922d8c001d,3729595,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x00000000000000000000000000000000000000000000021e19e0c9bab24000000000000000000000000000000000000000000000000000004563918244f40000,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0x3e2ac58fc9fde895797395da9e70bc4df3238c3ef09052068b9c37ab14e6cec2,4,0x24aa0566fc4a75a740a0bc5fcb1509d6621932d0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,5000000000000000000,3020568,2000000000,0xf305d71900000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c00000000000000000000000000000000000000000000021e19e0c9bab240000000000000000000000000000000000000000000000000021e19e0c9bab24000000000000000000000000000000000000000000000000000004563918244f4000000000000000000000000000024aa0566fc4a75a740a0bc5fcb1509d6621932d0000000000000000000000000000000000000000000000000000000005faa9f3e,1605016236,KWH
6051,0x3e2ac58fc9fde895797395da9e70bc4df3238c3ef09052068b9c37ab14e6cec2,1,0x3434d2e9af1b53d0d70d5e6891fba366d2dc4892957c2b33ee3696922d8c001d,3729595,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x00000000000000000000000000000000000000000000021e19e0c9bab24000000000000000000000000000000000000000000000000000004563918244f40000,"0x4c209b5fc8ad50758f13e2e1088ba56a560dff690a1c6fef26394f4c03821c4f,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d",0x3e2ac58fc9fde895797395da9e70bc4df3238c3ef09052068b9c37ab14e6cec2,4,0x24aa0566fc4a75a740a0bc5fcb1509d6621932d0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,5000000000000000000,3020568,2000000000,0xf305d71900000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c00000000000000000000000000000000000000000000021e19e0c9bab240000000000000000000000000000000000000000000000000021e19e0c9bab24000000000000000000000000000000000000000000000000000004563918244f4000000000000000000000000000024aa0566fc4a75a740a0bc5fcb1509d6621932d0000000000000000000000000000000000000000000000000000000005faa9f3e,1605016236,KWH
10769,0x090afedec4818e9a1d84810c7729e043cbf3e703fbe4c33df8eb2379f857bd48,1,0x610c3270d3784b2f1075ef24ff1600568fe2d773e24c13e95d509287e5957416,3729731,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x0000000000000000000000000000000000000000000000003eae9fc6549a4b61,"0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000000000000000000000000000000000000000000000,0x000000000000000000000000fe594e862c3ce76e192997eabfc41afd7c975b52",0x090afedec4818e9a1d84810c7729e043cbf3e703fbe4c33df8eb2379f857bd48,4,0xfe594e862c3ce76e192997eabfc41afd7c975b52,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,100000000000000000,198638,1000000000,0xf305d71900000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c00000000000000000000000000000000000000000000000b0f431d848fdb3fd900000000000000000000000000000000000000000000000b011b1987bd3797d900000000000000000000000000000000000000000000000001617eb90b26c000000000000000000000000000fe594e862c3ce76e192997eabfc41afd7c975b52000000000000000000000000000000000000000000000000000000005faaa727,1605018276,KWH
10770,0x090afedec4818e9a1d84810c7729e043cbf3e703fbe4c33df8eb2379f857bd48,1,0x610c3270d3784b2f1075ef24ff1600568fe2d773e24c13e95d509287e5957416,3729731,0x2350a783efeb9322631f6b87fdebeb1852ad346d,0x00000000000000000000000000000000000000000000022e94eb456ca52b3fd900000000000000000000000000000000000000000000000046177c3a9b9f27f7,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,0x090afedec4818e9a1d84810c7729e043cbf3e703fbe4c33df8eb2379f857bd48,4,0xfe594e862c3ce76e192997eabfc41afd7c975b52,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,100000000000000000,198638,1000000000,0xf305d71900000000000000000000000078b57c213a18df1dabc647149902ea1966e0119c00000000000000000000000000000000000000000000000b0f431d848fdb3fd900000000000000000000000000000000000000000000000b011b1987bd3797d900000000000000000000000000000000000000000000000001617eb90b26c000000000000000000000000000fe594e862c3ce76e192997eabfc41afd7c975b52000000000000000000000000000000000000000000000000000000005faaa727,1605018276,KWH
